a,an 任一
specific 明确的,具体的
speech 演说,讲话
speed 迅速,快
spell 拼写
spelling 拼法,拼写法
spend 花费,用尽,消磨
sphere 球体，范围,领域
spider 蜘蛛
spill 溢出,溅出
spin 旋转,纺纱
spirit 精神，大概,志气
spit 吐唾沫，唾液
spite 不顾,不管
splendid 壮丽的,辉煌的
split 劈开,分裂,分离
spoil 损坏,宠坏,溺爱
spoon 匙,调羹
sport 运动
sport-man 运动员
spot 斑点,污点
spray 喷,浪花,水花
spread 伸开,伸展,,传播
spring 春季,踊跃
square 正方形，广场
squeeze 压榨,挤
stable 稳定的
staff 全体人员
stage 舞台，阶段,时期
stain 污点,瑕疵
stair 楼梯
stale 变质的,陈旧的
stamp 邮票,印花
stand 站,站立
standard 标准,规格
star 星,明星,名角
stare 凝视,盯着看
start 开始,着手,吃惊
starve 饿死,
state 状态,国家,说明
statement 声明,陈述
station 车站
statistic 统计资料
stay 停留,暂住
steady 稳固的,稳定的
steak 牛排，肉排
steal 偷,窃取
steam 蒸汽,水汽
steamer 汽船
steel 钢
steep 陡峭的,险峻的
stem 茎,干
step 步,脚步,台阶
stick 棍,棒,手杖
stiff 硬的,僵直的
still 还，仍旧
stir 搅拌,搅动
stock 库存,储品
stocking 长袜
stomach 胃,胃口
stone 石,石头宝石
stoop 弯腰,曲背
stop 停止,中止
store 储藏,储备
stor(e)y 楼,层
storm 暴风雪,暴风雨
story 故事,传说
stove 炉
straight 直的,笔直的
strain 过度的疲劳,紧张
strange 奇异的,奇怪的
stranger 陌生人
strategy 战略,策略
straw 稻草,麦秆
stream 溪,川，流,涌
street 街,街道
strength 力量,实力,强度
strengthen 加强,巩固
stress 压力,应力重音
stretch 伸展,伸长
strict 严格的,严厉的
strike 击,撞，罢工
string 线,细绳
stripe 条纹
stroke 击,敲报时的钟声
strong 强壮的,强大的
structure 结构,构造
struggle 斗争,奋斗
student 学生,大学生
study 学习,研究
stuff 原料,材料,东西
stupid 愚蠢的,笨的
style 风格,文体,类型
subject 主题,题目
submarine 潜水艇，水下的
submit 服从,顺从,递交
substance 物质，实质,主旨
substitute 代用品,代替者
subtract 减去,减
suburb 市郊,郊区
subway 地道,地铁
succeed 成功,继承
success 成功,成就
successful 成功的
successive 连续的,接连的
such 这样的,这种的
sudden 突然的,意外的
suffer 受痛苦,忍耐
sufficient 足够的,充分的
sugar 糖
suggest 建议,提出,暗示
suggestion 建议,意见
suit 合适,适合,配合
suitable 合适的,适宜的
sum 总数,和,概括
summarize(-se) 概括,总结
summary 摘要,概要
summer 夏,夏季
sun 太阳,日
Sunday 星期日
sunlight 日光,阳光
sunrise 日出
sunset 日落
sunshine 阳光
superior 优良的,卓越的
supermarket 超级市场
supper 晚餐
supply 供给,供应
support 支撑,支承
suppose 料想,猜想
supreme 极度的,极大的
sure 肯定的,确信的
surface 表面现象,面
surprise 使惊奇,使惊讶
surround 包围,环绕
survey 调查,勘定
survive 幸免于,幸存
suspect 猜疑,怀疑
swallow 吞,咽
sway 摇摆,摇动
swear 诅咒宣誓,发誓
sweat 汗，出汗
sweep 扫,打扫
sweet 甜的，可爱的,美好的
swift 快速的,敏捷的
swim 游泳
swing 摇摆,摆动
switch 开关,电闸
symbol 符号,记号
sympathy 同情,同情心
symptom 征候,征兆
synthetic 合成的,综合的
system 系统,体系
table 桌子,台子表格
tail 尾巴后部,尾部
tailor 裁缝剪裁,缝制
take 拿,取
tale 故事,传说
talk 谈话，讲
tall 高的,身材高的
tame 驯服的,温顺的
tank 罐,槽，坦克
tap 塞子,轻叩,轻拍
tape 带子，录音带
target 目标,对象
task 任务,作业
taste 品尝,辨味
tax 税,税款
taxi 出租汽车
tea 茶,茶叶，茶点
teach 教,讲授
teacher 教师
team 队,组
tear 眼泪，撕开,撕碎
technical 技术的
technique 技术,技能
technology 工艺,技术
telegram 电报
telephone 电话,电话机
telescope 望远镜
television(TV) 电视,电视机
tell 说,讲述,命令
temper 脾气,情绪
temperature 温度
temple 庙宇,神殿,寺院
temporary 临时的,暂时的
temptation 诱惑,引诱
ten 十,十个
tend 照管,护理
tendency 趋向,趋势
tender 嫩的温柔的
tennis 网球
tense 拉紧的,紧张的
tent 帐篷
tenth 第十
term 学期，期限,期间
terrible 很糟的,极坏的
territory 领土,版图
terror 恐怖
test 测试,试验,检验
text 正文,课文,课本
than 比
thank 感谢,多亏
that 结果是,以致
the 这,那
theatre(-ter) 戏院，阶梯教室
theory 理论,原理，学说
there 在那里,往那里
therefore 因此,所以
thermometer 温度计
these 这些
they 他(她,它)们
think 厚的,粗的,浓的
thief 小偷,贼
thin 薄的,细的
thing 东西,情况
think 想,思索,以为
third 第三
thirsty 口渴的,热望的
thirteen 十三,十三个
thirty 三十,三十个
thorough 彻底的,完全的
those 那些
though 虽然,尽管
thought 思维,打算
thoughtful 认真思考的
thousand 一千,许多
thread 线,线索,思路
threat 恐吓,威胁
threaten 恐吓,威胁利诱
three 三,三个
throat 咽喉
through 穿过,通过
throughout 贯穿,全部
throw 扔,抛
thrust 戳,刺,插入
thumb 拇指
thunder 雷,雷鸣
Thursday 星期四
thus 因而,如此
ticket 票,入场券
tide 潮汐,趋势
tidy 整洁的,整齐的
tie 领事,领结,束紧
tiger 虎
tight 紧身的,装紧的
till 直到……为止
time 时候,时刻
tin 罐头，锡
tiny 极小的,微小的
tip 末端,尖端
tired 疲劳的,累的
tissue 薄纱,薄纸
title 标题,书名
to 向往
tobacco 烟草,烟叶
today 今天
toe 脚趾,足尖
together 共同,一起
toilet 盥洗室
tolerate 忍受,容忍
tomato 西红柿
tomorrow 明天
ton 吨
tone 音调,音色,气氛
togngue 舌
tonight 今晚
tool 工具,用具
tooth 牙齿,齿
top 顶,顶端,顶点
topic 话题,主题
torch 手电筒，火炬,火把
total 总数,合计
touch 触,碰及
tough 棘手的,难办的
tour 旅行,旅行者
toward(s) 接近,将近
towel 毛巾
tower 塔
town 市镇,城镇
toy 玩具
trace 痕迹,踪迹
track 跑道,小路
tractor 拖拉机
trade 贸易,商业
tradition 传统,惯例
traditional 传统的,惯例的
traffic 交通,车辆行人
trail 踪迹,痕迹,追踪
train 火车,系列,培养
training 训练,培养
transfer 转移,调动,转学
transform 改变,变换,转化
transistor 晶体管
translate 翻译
translation 译本,译文
transmit 播出,发送
transport 运输,运送
trap 陷阱,圈套
travel 旅行团,传播
tray 盘,碟
treasure 财宝,珍惜
treat 处理,治疗,探讨
treatment 待遇,对待
tree 树
tremble 发抖,颤抖
tremendous 极大的,巨大的
trend 倾向,趋势
trial 试验,考验
triangle 三角形
trick 诡计,骗局
trim 整齐的,整洁的
trip 旅行,远足
triumph 胜利,成功
troop 军队,部队
trouble 烦恼,麻烦
trousers 裤子
truck 卡车,载重汽车
true 真实的,真正的
trumpet 喇叭
trust 信任,信赖
truth 真实,真相
try 试图,努力
tube 管(子)，地铁
Tuesday 星期二
tune 曲调,调子
tunnel 隧道,地道
turn 转动,旋转
twelfth 第十二
twelve 十二,十二个
twentieth 第二十
twenty 二十,二十个
twice 两次,两倍
twin 双的,成对的，孪生的
twist 捻,搓,拧
type 型,类型
typewriter 打字机
typical 典型的
tyre 轮胎
ugly 丑陋的,难看的
umbrella 伞,雨伞
unable 不能的,不会的
uncle 伯父
uncomfortable 不舒服的
under 少于,低于
undergo 经历,承受
underground 地下的,地面下的
underline 在…下面划线
underneath 在下面,在底下
understand 懂得,理解
understanding 理解,领会
undertake 承担,担任
uneasy 担心的,忧虑的
unexpected 想不到的,意外的
unfair 不公平的
unhappy 不幸的,悲惨的
uniform 制服,一律的
union 协会,联合,合并
unique 惟一的,独特的
unit 单位机组,装置
unite 联合,团结
unity 团结,联合
universe 宇宙,世界
university 大学
unknown 不知道的,未知的
unless 除非,如果不
unlike 不同的,不相似的
unnecessary 不必要的,多余的
unpleasant 使人愉快的,讨厌的
until 直到……为此
unusual 不平常的,与众不同的
upon =on
upper 上面的,上部的
upset 扰乱,打翻,推翻
upstairs 向楼上,在楼上
up-to-date 时新的,最新式的
upward 向上,往上,向上的
urban 城市的
urge 催促,力劝
urgent 急迫的,紧急的
us pro[we的宾格]我们
use 耗费,应用
used 过去常常
useful 有用的,有益的
useless 无用的,无效的
usual 通常的,平常的
usually 通常,平常
utmost 最远的极度的,极端的
vacation 假期
vacuum 真空
vain 徒劳的,徒然的
valley (山)谷，流域
valuable 贵重的,有价值的
value 价格价值
vanish 消失
vqpo(u)r 蒸汽
variety 种类,品种
various 各种各样的
vary 改变
vast 巨大的,辽阔的
vegetable 蔬菜
vehicle 车辆；媒介,载体
verb 动词
version 版本,译本
vertical 垂直的
very 非常,很
vessel 容器,器皿
vice 邪恶,坏事
victim 牺牲品,受害者
victory 胜利
video 电视,录像
view 景色,风景
village 农村,村庄
vinegar 醋
violence 暴力,强暴
violent 暴力的,猛烈的
violet 紫色的
violin 小提琴
virtue 美德,德行
visible 看得见的,可见的
visit 访问,参观
visitor 访问者,参观者
vital 生死攸关的,重大的
vitamin 维生素
voice 声音
volume 容积,体积
volunteer 志愿者,志愿兵
vote 投票,表决
voyage 航海,航行
Wage 工资
wag(g)on 敞篷货车
wait 等候,等待
waiter 侍者,服务员
wake 醒来,唤醒
waken 醒来,唤醒
walk 步行,散步
wall 墙,壁
wander 漫步,徘徊
want 想要,需要
war 战争，温暖的
warm 暖和,温暖
warmth 警告,告诫
wash 洗,洗涤
waste 浪费
watch 表，看管,监视
water 水洒水,浇水
waterproof 防水的,不透水的
wave 波,波浪
wax 蜡
weakness 虚弱的,弱的
weakness 虚弱,软弱
wealth 财富,财产
wealthy 富裕的,丰富的
weapon 武器
wear 穿,戴
weather 天气,气象
weave 织,编织
web 网络
wedding 婚礼
Wednesday 星期三
weed 野草,杂草
week 星期,周
weekday 工作日
weekend 周末
weekly 每星期的,一周的
weigh 称……重量
weight 重量,负荷,重担
welcome 欢迎
welfare 福利
well 充分地,彻底地
west 西方的,西部的
western 西方的,西部的
wet 湿的,潮湿的
what 什么
whatever 无论什么
wheat 小麦
wheel 轮,车轮
when 什么时候,何时
whenever 无论何时,随时
where 在哪里,往哪里
wherever 无论在哪里
whether 是否
which 哪一个,哪一些
whichever 无论哪个,无论哪些
while 尽管,虽然
whip 鞭打,抽打
whisper 耳语,轻声说
whistle 口哨,汽笛
white 白色的,白的
whoever 不论谁,任何人
whole 完整的,无缺的
wholly 完全地,全部
wicked 邪恶的,恶劣的
wide 宽阔的，广泛的
widely 广泛地
widespread 颁布广泛的
width 宽阔,广阔
wife 妻子
wuld 野性的,狂热的
will 将,会
willing 情愿的,乐意的
win (获)胜,赢得
wind 绕,缠
window 窗户,窗口
wine 葡萄酒,酒
wing 翼,翅膀
winter 冬,冬季
wipe 擦去,除去
wire 金属丝,电线
wisdom 智慧,明智
wise 聪明的
wish 希望,愿望
wit 智力,才智
with 带有,具有
withdraw 收回,撤销
within 在……里面
without 无,没有
witness 目击者
wolf 狼
woman 女人,妇女
wonder 感到惊奇
wonderful 惊人的
wood 木头,木材
wooden 木(制)的
wool 羊毛
worker 工人,
workman 工人,工作者
workshop 车间,工场
world 世界,地球
worm 虫,蠕虫
worry 使烦恼,使发愁
worse 较坏,较差
worship 崇拜,敬仰
worst 最坏的,最差的
worth 值得，价值
worthwhile 值得做的
worthy 可尊敬的
would 大概
wound 创伤,伤口
wrap 裹,缠,包装
wrist 腕
write 写字,书写
writer 作者,作家
wrong 错误的
X-ray X射线,X光
yard 院子，码
year 年
yearly 每年,年年
yellow 黄色
yes 是的
yesterday 昨天
yet 尚,仍然,还
yield 出产,生长
young 年轻的
youth 青春,少年时代
zero 零点,零度
zone 地区,区域
zoo 动物园
